code,name,first_date,last_date,bars
sh688429,时创能源,2023-06-29,2026-09-02,773
sh688428,诺诚健华,2022-09-21,2026-09-02,957
sh688426,康为世纪,2022-10-25,2026-09-02,938
sh688433,华曙高科,2023-04-17,2026-09-02,821
sh688435,英方软件,2023-01-19,2026-09-02,877
sh688439,振华风光,2022-08-26,2026-09-02,974
sh688432,有研硅,2022-11-10,2026-08-28,923
sh688449,联芸科技,2024-11-29,2026-09-02,428
sh688448,磁谷科技,2022-09-21,2026-09-02,957
sh688443,智翔金泰-U,2023-06-20,2026-09-02,778
sh688450,光格科技,2023-07-24,2026-09-02,756
sh688458,美芯晟,2023-05-22,2026-09-02,799
sh688456,有研粉材,2021-03-17,2026-09-02,1327
sh688469,芯联集成-U,2023-05-10,2026-09-02,807
sh688455,科捷智能,2022-09-15,2026-09-02,961
sh688459,哈铁科技,2022-10-12,2026-09-02,947
sh688468,科美诊断,2021-04-09,2026-09-02,1311
sh688475,萤石网络,2022-12-28,2026-09-02,892
sh688472,阿特斯,2023-06-09,2026-09-02,785
sh688466,金科环境,2020-05-08,2026-09-02,1536
sh688478,晶升股份,2023-04-24,2026-09-02,806
sh688480,赛恩斯,2022-11-25,2026-09-02,915
sh688479,友车科技,2023-05-11,2026-09-02,806
sh688484,南芯科技,2023-04-07,2026-09-02,827
sh688489,三未信安,2022-12-02,2026-09-02,910
sh688486,龙迅股份,2023-02-21,2026-09-02,859
sh688485,九州一轨,2023-01-18,2026-09-02,878
sh688488,艾迪药业,2020-07-20,2026-09-02,1487
sh688496,*ST清越,2022-12-28,2026-09-02,890
sh688505,复旦张江,2020-06-19,2026-09-02,1506
sh688506,百利天恒,2023-01-06,2026-09-02,886
sh688501,青达环保,2021-07-16,2026-09-02,1245
sh688507,索辰科技,2023-04-18,2026-09-02,820
sh688499,利元亨,2021-07-01,2026-09-02,1256
sh688500,慧辰股份,2020-07-16,2026-09-02,1487
sh688508,芯朋微,2020-07-22,2026-09-02,1485
sh688510,航亚科技,2020-12-16,2026-09-02,1386
sh688502,茂莱光学,2023-03-09,2026-09-02,847
sh688498,源杰科技,2022-12-21,2026-09-02,897
sh688503,聚和材料,2022-12-09,2026-09-02,905
sh688517,金冠电气,2021-06-18,2026-09-02,1265
sh688509,正元地信,2021-07-30,2026-09-02,1235
sh688513,苑东生物,2020-09-02,2026-09-02,1455
sh688521,芯原股份,2020-08-18,2026-09-02,1456
sh688512,慧智微-U,2023-05-16,2026-09-02,803
sh688515,裕太微-U,2023-02-10,2026-09-02,866
sh688516,奥特维,2020-05-21,2026-09-02,1527
sh688511,天微电子,2021-07-30,2026-09-02,1233
sh688518,联赢激光,2020-06-22,2026-09-02,1505
sh688522,纳睿雷达,2023-03-01,2026-09-02,843
sh688520,神州细胞,2020-06-22,2026-09-02,1505
sh688523,航天环宇,2023-06-02,2026-09-02,790
sh688519,南亚新材,2020-08-18,2026-09-02,1466
sh688529,豪森智能,2020-11-09,2026-09-02,1413
sh688530,欧莱新材,2024-05-09,2026-09-02,566
sh688528,秦川物联,2020-07-01,2026-09-02,1500
sh688531,日联科技,2023-03-31,2026-09-02,821
sh688538,和辉光电-U,2021-05-28,2026-09-02,1279
sh688536,思瑞浦,2020-09-21,2026-09-02,1422
sh688545,兴福电子,2025-01-22,2026-09-02,391
sh688526,科前生物,2020-09-22,2026-09-02,1441
sh688543,国科军工,2023-06-21,2026-09-02,777
sh688525,佰维存储,2022-12-30,2026-09-02,890
sh688535,华海诚科,2023-04-04,2026-09-02,819
sh688548,广钢气体,2023-08-15,2026-09-02,740
sh688533,上声电子,2021-04-19,2026-09-02,1305
sh688551,科威尔,2020-09-10,2026-09-02,1449
sh688550,瑞联新材,2020-09-02,2026-09-02,1450
sh688553,汇宇制药-W,2021-10-26,2026-09-02,1180
sh688549,中巨芯-U,2023-09-08,2026-09-02,722
sh688555,退市泽达,2020-06-23,2023-06-30,699
sh688539,高华科技,2023-04-18,2026-09-02,820
sh688552,航天南湖,2023-05-18,2026-09-02,801
